time,open,high,low,close,volume,close_time,qav,trades,tbb,tbq,ign
2026-04-04 01:20:00,66869.39,66881.59,66841.7,66881.59,60.63659000,2026-04-04 01:24:59.999,4054397.50845160,4808,48.92283000,3271203.55819280,0
2026-04-04 01:25:00,66881.59,66881.59,66840.59,66840.6,98.99329000,2026-04-04 01:29:59.999,6618924.75252380,4287,6.42470000,429535.47801860,0
2026-04-04 01:30:00,66840.59,66862.23,66832.94,66852.99,55.60587000,2026-04-04 01:34:59.999,3717025.03985490,3638,49.39631000,3301885.68106880,0
2026-04-04 01:35:00,66852.99,66864.37,66844.29,66844.3,27.18442000,2026-04-04 01:39:59.999,1817376.50322480,2279,2.41047000,161151.55801790,0
2026-04-04 01:40:00,66844.3,66870.13,66832.94,66832.94,39.36626000,2026-04-04 01:44:59.999,2631899.15474530,3741,24.46989000,1636106.72814120,0
2026-04-04 01:45:00,66832.95,66853.53,66827.22,66843.79,15.91820000,2026-04-04 01:49:59.999,1063989.41497140,2779,9.16861000,612808.56962090,0
2026-04-04 01:50:00,66843.8,66853.96,66843.79,66852.29,4.14672000,2026-04-04 01:54:59.999,277217.53403460,1344,2.20012000,147082.45923380,0
2026-04-04 01:55:00,66852.28,66852.29,66837.65,66852.0,4.90991000,2026-04-04 01:59:59.999,328206.00845120,2747,2.42502000,162097.76580270,0
2026-04-04 02:00:00,66852.0,66917.08,66841.74,66917.07,7.07185000,2026-04-04 02:04:59.999,472900.19564040,4838,3.78451000,253071.85115640,0
2026-04-04 02:05:00,66917.07,66919.41,66864.65,66864.66,8.68477000,2026-04-04 02:09:59.999,580903.76394050,3830,4.52183000,302394.10908980,0
2026-04-04 02:10:00,66864.65,66864.66,66831.27,66844.34,8.54654000,2026-04-04 02:14:59.999,571280.59117940,4234,3.98768000,266546.71782820,0
2026-04-04 02:15:00,66844.33,66844.34,66820.54,66829.29,17.67160000,2026-04-04 02:19:59.999,1181013.18482900,4289,7.82822000,523145.33453060,0
2026-04-04 02:20:00,66829.29,66829.29,66818.64,66818.65,6.75003000,2026-04-04 02:24:59.999,451057.63623450,1846,4.05357000,270867.97997560,0
2026-04-04 02:25:00,66818.65,66835.68,66818.64,66834.32,4.73250000,2026-04-04 02:29:59.999,316257.70098720,1816,3.11527000,208179.51431270,0
2026-04-04 02:30:00,66834.32,66885.92,66834.31,66875.11,9.39825000,2026-04-04 02:34:59.999,628332.60518450,5624,4.69924000,314155.83548900,0
2026-04-04 02:35:00,66875.11,66875.11,66849.76,66852.9,5.70759000,2026-04-04 02:39:59.999,381620.70880690,2839,1.57078000,105023.05894380,0
2026-04-04 02:40:00,66852.9,66852.9,66826.81,66826.82,28.68360000,2026-04-04 02:44:59.999,1917062.43953020,1395,2.28340000,152624.18974170,0
2026-04-04 02:45:00,66826.82,66850.0,66817.07,66830.36,28.58406000,2026-04-04 02:49:59.999,1910487.55372430,4087,26.30952000,1758469.07698640,0
2026-04-04 02:50:00,66830.36,66837.3,66816.48,66816.48,4.81888000,2026-04-04 02:54:59.999,322037.49010580,2221,1.45761000,97411.31466370,0
2026-04-04 02:55:00,66816.48,66844.84,66814.0,66844.83,8.16826000,2026-04-04 02:59:59.999,545797.13433070,6531,5.01231000,334917.47289710,0
2026-04-04 03:00:00,66844.84,66890.0,66844.83,66869.88,5.73880000,2026-04-04 03:04:59.999,383773.07674820,5014,3.10001000,207296.49010280,0
2026-04-04 03:05:00,66869.88,66903.05,66869.87,66881.78,5.86710000,2026-04-04 03:09:59.999,392441.81897730,5113,3.28370000,219635.36935840,0
2026-04-04 03:10:00,66881.78,66910.22,66881.77,66900.84,15.43148000,2026-04-04 03:14:59.999,1032301.77906780,3526,13.41203000,897198.28737330,0
2026-04-04 03:15:00,66900.85,66900.85,66854.01,66854.01,3.48390000,2026-04-04 03:19:59.999,232995.43823300,2396,1.31556000,87982.34206200,0
2026-04-04 03:20:00,66854.01,66862.88,66853.84,66853.86,8.67173000,2026-04-04 03:24:59.999,579748.52327820,4212,7.44652000,497834.29086230,0
2026-04-04 03:25:00,66853.86,66853.86,66849.67,66852.11,5.27208000,2026-04-04 03:29:59.999,352441.66633740,3094,4.47693000,299284.77555520,0
